Commune;Cercle;Secteur;Lieu-dit;Date attaque;Num semaine;Animaux concernés;Victimes constatées;Taille troupeau ou lot;Conclusion expertise_ DDT;Decision indemnisation;Protocole;Num AP tir
LES ADRETS;1;Belledonne Centre;Col de la Croix d’Hurtière;01/08/2020;31;Ovin;1;46;Loup typé;Oui;Pas d'AP;/
LE HAUT-BRÉDA;1;Belledonne Centre;Combe madame;04/08/2020;32;Ovin;1;727;Indéterminé;Oui;TDS;38-2016-07-22-005
ALLEMOND;1;Belledonne Centre;Articol;14/08/2020;33;Ovin;2;180;Loup typé;Oui;TDS;38-2016-06-24-003
LES ADRETS;1;Belledonne Centre;Les Oudis;21/08/2020;34;Ovin;1;294;Loup typé;Oui;Pas d'AP;/
LE HAUT-BRÉDA;1;Belledonne Centre;7 Laux;26/08/2020;35;Ovin;1;802;Loup typé;Oui;TDR;38-2020-07-24-004
ALLEMOND;1;Belledonne Centre;Roche Cotant;31/08/2020;36;Ovin;2;180;Indéterminé;Oui;Pas d'AP;/
THEYS;1;Belledonne Centre;Les Oudis;12/09/2020;37;Ovin;2;292;Loup typé;Oui;Pas d'AP;/
ALLEMOND;1;Belledonne Centre;Articol;25/09/2020;39;Ovin;1;180;Loup typé;Oui;TDS;38-2016-06-24-003
ALLEMOND;1;Belledonne Centre;St Jean;22/11/2020;47;Ovin;2;128;Loup non exclu;Oui;TDS;38-2016-06-24-003
ALLEMOND;1;Belledonne Centre;La Traverse;27/11/2020;48;Ovin;1;126;Loup typé;Oui;TDS;38-2016-06-24-003
LES ADRETS;1;Belledonne Centre;Col des Ayes;04/12/2020;49;Equin;1;2;Indéterminé;Non - loup exclu;Pas d'AP;/
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Moretel de Mailles;15/01/2019;3;Caprin;3;98;Loup typé;Oui;;
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Moretel de Mailles;05/02/2019;6;Caprin;2;;Loup typé;Oui;;
LE CHEYLAS;1;Belledonne Nord;Le Maupas;31/03/2019;13;Ovin;3;310;Loup non exclu;Oui;;
ALLEVARD;1;Belledonne Nord;Crozet;24/05/2019;21;Ovin;1;60;Loup typé;Oui;;
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Le Crey;22/06/2019;25;Caprin;2;42;Loup typé;Oui;;
ALLEVARD;1;Belledonne Nord;Perioule;11/08/2019;32;Ovin;3;1370;Loup typé;Oui;;
ALLEVARD;1;Belledonne Nord;Périoule;28/08/2019;35;Ovin;1;1356;Loup typé;Oui;;
ALLEVARD;1;Belledonne Nord;Périoule;29/08/2019;35;Ovin;1;1356;Loup typé;Oui;;
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Planchamp;03/10/2019;40;Ovin;2;74;Loup non exclu;Oui;;
PONTCHARRA;1;Belledonne Nord;Le Clercet;13/01/2020;3;Caprin;6;;Loup typé;Oui;Pas d'AP;/
LE CHEYLAS;1;Belledonne Nord;L’abbaye;02/04/2020;14;Ovin;3;480;Loup typé;Oui;Pas d'AP;/
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Le Crey;19/04/2020;16;Caprin;2;100;Loup typé;Oui;TDS;38-2017-05-05-001
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Le Fontanil;17/06/2020;25;Veau;1;28;Indéterminé;Non indemnisable;TDS;38-2017-05-05-001
LE HAUT-BRÉDA;1;Belledonne Nord;L’Arpette;23/07/2020;30;Ovin;1;470;Loup typé;Oui;TDS;38-2017-05-22-001
LE HAUT-BRÉDA;1;Belledonne Nord;Perioile;28/07/2020;31;Ovin;1;1402;Loup typé;Oui;TDS;38-2017-06-07-004
ALLEVARD;1;Belledonne Nord;Perioule;22/08/2020;34;Ovin;1;1;Loup typé;Oui;Pas d'AP;/
LE HAUT-BRÉDA;1;Belledonne Nord;Perioule;26/08/2020;35;Ovin;1;1;Loup typé;Oui;Pas d'AP;/
PONTCHARRA;1;Belledonne Nord;Berruer;09/10/2020;41;Ovin;3;304;Indéterminé;Non indemnisable;Pas d'AP;/
ALLEVARD;1;Belledonne Nord;;29/11/2020;48;Ovin;1;4;Loup non exclu;Non indemnisable;Sans objet;/
REVEL;1;Belledonne Sud;La Pra;04/07/2019;27;Ovin;2;1300;Loup typé;Oui;;
REVEL;1;Belledonne Sud;La Pra;16/07/2019;29;Ovin;2;1330;Loup typé;Oui;;
REVEL;1;Belledonne Sud;La Pra;27/07/2019;30;Ovin;6;1330;Loup typé;Oui;;
VENON;2;Belledonne Sud;L’Adret;04/08/2019;31;Veau naissant;1;15;Indéterminé;Non - loup exclu;;
REVEL;1;Belledonne Sud;La Pra;06/08/2019;32;Ovin;2;1300;Loup typé;Oui;;
VENON;2;Belledonne Sud;L’Adret;08/08/2019;32;Veau naissant;1;14;Charognard;Non - loup exclu;;
REVEL;1;Belledonne Sud;La Pra;14/08/2019;33;Ovin;1;1350;Loup typé;Oui;;
REVEL;1;Belledonne Sud;La pra;20/08/2019;34;Ovin;2;1350;Loup typé;Oui;;
REVEL;1;Belledonne Sud;La Pra;26/08/2019;35;Ovin;1;1350;Loup typé;Oui;;
REVEL;1;Belledonne Sud;La Pra;02/09/2019;36;Ovin;3;1350;Loup typé;Oui;;
REVEL;1;Belledonne Sud;La Pra;05/09/2019;36;Ovin;2;1320;Loup non exclu;Oui;;
VAULNAVEYS-LE-HAUT;1;Belledonne Sud;Montgardier;03/11/2019;44;Ovin;1;1300;Loup typé;Oui;;
VENON;2;Belledonne Sud;Présambois;18/11/2019;47;Veau naissant;1;6;Charognard;Non - loup exclu;;
REVEL;1;Belledonne Sud;Pont Rajas;02/03/2020;10;Ovin;2;2;Loup typé;Oui;TDS;Demande déposée
JARRIE;HC;Belledonne Sud;Chateau-Neuf;14/04/2020;16;Bovin;1;73;Loup non exclu;Oui;TDS;38-2018-10-31-003
REVEL;1;Belledonne Sud;Colon;30/06/2020;27;Ovin;1;1200;Loup non exclu;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;18/07/2020;29;Ovin;3;1200;Loup typé;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;22/07/2020;30;Ovin;1;1200;Loup non exclu;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;15/08/2020;33;Ovin;1;1200;Loup non exclu;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;16/08/2020;33;Ovin;1;1200;Loup typé;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;17/08/2020;34;Ovin;1;1200;Loup typé;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;19/08/2020;34;Ovin;1;1200;Loup typé;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;31/08/2020;36;Ovin;1;1180;Loup typé;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;07/09/2020;37;Ovin;1;1200;Loup non exclu;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;12/09/2020;37;Ovin;1;1200;Loup typé;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;Lac Bernard;13/09/2020;37;Caprin;1;1200;Loup non exclu;Oui;TDR;38-2019-09-05-007
REVEL;1;Belledonne Sud;La Pra;18/09/2020;38;Ovin;2;1200;Loup typé;Oui;TDR;38-2019-09-05-007
LA CÔTE-SAINT-ANDRÉ;HC;Bièvre;Chemin de Bone;17/11/2019;46;Veau;1;30;Indéterminé;Non - loup exclu;;
PENOL;HC;Bièvre;Montée de la Croze;11/04/2020;15;Ovin;1;20;Loup non exclu;Oui;Sans objet;/
MARCOLLIN;HC;Bièvre;Feydel;25/05/2020;22;Ovin;1;180;Indéterminé;Non - loup exclu;Pas d'AP;/
VIRIVILLE;HC;Bièvre;Le Comp;27/05/2020;22;Veau;1;12;Indéterminé;Non - loup exclu;Pas d'AP;/
IZEAUX;2;Bièvre;Champ Martinet;02/11/2020;45;Veau naissant;1;4;Loup typé;Non indemnisable;Pas d'AP;/
LA SURE EN CHARTREUSE;1;Chartreuse;Pommier la Placette;15/06/2019;24;Ovin;8;34;Loup typé;Oui;;
LA SURE EN CHARTREUSE;1;Chartreuse;Pommier la Placette;17/06/2019;25;Ovin;1;4;Loup typé;Oui;;
SAINT-PIERRE-DE-CHARTREUSE;1;Chartreuse;Habert de Chamechaude;18/09/2019;38;Ovin;1;450;Indéterminé;Non - loup exclu;;
MONT-SAINT-MARTIN;1;Chartreuse;Espalassière;07/10/2019;41;Ovin;1;67;Lynx;Oui;;
MIRIBEL-LES-ÉCHELLES;1;Chartreuse;Le Moulin;03/11/2019;44;Veau naissant;1;4;Loup non exclu;Oui;;
MONT-SAINT-MARTIN;1;Chartreuse;Nanière;12/05/2020;20;Ovin;1;180;Indéterminé;Non - loup exclu;Pas d'AP;/
SAINTE-MARIE-DU-MONT;1;Chartreuse;Le Pinet;13/06/2020;24;Ovin;10;375;Loup typé;Oui;Pas d'AP;/
CHAPAREILLAN;1;Chartreuse;Bellecombe;19/07/2020;29;Ovin;1;38;Loup non exclu;Oui;Pas d'AP;/
SAINTE-MARIE-DU-MONT;1;Chartreuse;L’Alpe;28/07/2020;31;Ovin;9;15;Loup typé;Oui;Sans objet;/
SAINTE-MARIE-DU-MONT;1;Chartreuse;L’Alpes;07/08/2020;32;Ovin;1;1;Loup typé;Non indemnisable;Sans objet;/
MONT-SAINT-MARTIN;1;Chartreuse;Espagne;04/11/2020;45;Ovin;1;98;Loup non exclu;Oui;Pas d'AP;/
LA BUISSE;1;Cluses de l'Isère;Le Bret;12/09/2020;37;Bovin;2;10;Loup non exclu;Oui;TDS;38-2018-06-04-003
LA BUISSE;1;Cluses de l'Isère;;13/10/2020;42;Bovin;1;47;Loup non exclu;Oui;TDS;38-2018-06-04-003
SAINT-GEORGES-DE-COMMIERS;1;Connex;La Chalpe;03/06/2019;23;Ovin;5;834;Loup typé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Les Reyniers;11/06/2019;24;Ovin;1;241;Loup typé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;La Chalpe;15/06/2019;24;Ovin;2;812;Loup typé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;A côté du village;25/08/2019;34;Ovin;6;7;Loup typé;Oui;;
NOTRE-DAME-DE-VAULX;1;Connex;Connex;01/09/2019;35;Veau naissant;1;1;Loup non exclu;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Le Village;09/09/2019;37;Ovin;3;3;Loup typé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Les Bordary;29/10/2019;44;Ovin;1;479;Loup non exclu;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Bondary;04/11/2019;45;Ovin;1;479;Loup typé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Le Pontet;09/11/2019;45;Veau;1;33;Loup non exclu;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Les Bordaris;01/05/2020;18;Ovin;5;799;Loup typé;Oui;TDS;38-2019-05-22-006
SAINT-JEAN-DE-VAULX;1;Connex;Les Creys;15/06/2020;25;Bovin;1;25;Loup non exclu;Oui;TDS;38-2019-06-12-010
SAINT-JEAN-DE-VAULX;1;Connex;Conest;09/07/2020;28;Ovin;13;125;Loup typé;Oui;TDR;38-2020-04-15-003
SAINT-JEAN-DE-VAULX;1;Connex;Les Pelissier;13/07/2020;29;Bovin;1;9;Loup typé;Oui;TDS;38-2018-10-31-003
SAINT-GEORGES-DE-COMMIERS;1;Connex;Montée des Planets;30/07/2020;31;Ovin;3;3;Indéterminé;Oui;Pas d'AP;/
SAINT-JEAN-DE-VAULX;1;Connex;Font Reinier;13/08/2020;33;Ovin;3;7;Loup typé;Oui;Pas d'AP;/
SAINT-GEORGES-DE-COMMIERS;1;Connex;St Pierre;22/10/2020;43;Ovin;3;44;Loup non exclu;Oui;Pas d'AP;/
SAINT-GEORGES-DE-COMMIERS;1;Connex;Le Chalp;05/11/2020;45;Ovin;6;469;Loup typé;Oui;TDR;38-2020-04-15-003
SAINT-GEORGES-DE-COMMIERS;1;Connex;Village;20/11/2020;47;Ovin;1;43;Loup non exclu;Oui;Pas d'AP;/
SAINT-JEAN-DE-VAULX;1;Connex;La Ferme;21/11/2020;47;Bovin;2;28;Loup non exclu;Oui;TDS;38-2018-10-31-003
SAINT-JEAN-DE-VAULX;1;Connex;Le Sauze;22/11/2020;47;Bovin;0;22;Loup non exclu;Oui;Pas d'AP;/
SAINT-JEAN-DE-VAULX;1;Connex;Les Bordaries;22/11/2020;47;Ovin;4;482;Loup typé;Oui;TDR;38-2020-04-15-003
SAINT-JEAN-DE-VAULX;1;Connex;Les Bordaries;27/11/2020;48;Caprin;2;480;Loup typé;Oui;TDR;38-2020-04-15-003
SAINT-GEORGES-DE-COMMIERS;1;Connex;Chemin des chèvres;30/11/2020;49;Ovin;1;43;Loup non exclu;Oui;Pas d'AP;/
BESSE;1;Emparis;Les Prés nouveaux;26/08/2019;35;Ovin;3;2500;Loup typé;Oui;;
BESSE;1;Emparis;A côté du village;19/10/2019;42;Ovin;11;2950;Loup typé;Oui;;
MIZOËN;1;Emparis;Les Clots;12/06/2020;24;Ovin;2;5;Loup non exclu;Oui;Pas d'AP;/
MIZOËN;1;Emparis;Chatons;12/07/2020;28;Ovin;1;850;Loup typé;Oui;Pas d'AP;/
BESSE;1;Emparis;Ruisseau Tirequeu;02/09/2020;36;Ovin;1;1466;Loup non exclu;Oui;Pas d'AP;/
BESSE;1;Emparis;Laval;06/10/2020;41;Veau naissant;2;240;Loup non exclu;Oui;TDS;38-2017-07-24-019
BESSE;1;Emparis;La Quarlie;13/10/2020;42;Bovin;1;240;Loup non exclu;Oui;TDS;38-2017-07-24-019
VAUJANY;1;Grandes Rousses;La Condamine;23/04/2019;17;Ovin;1;330;Loup typé;Oui;;
VAUJANY;1;Grandes Rousses;La condamine;27/04/2019;17;Ovin;1;135;Loup non exclu;Oui;;
VAUJANY;1;Grandes Rousses;La condamine;06/05/2019;19;Ovin;9;135;Loup typé;Oui;;
OZ;1;Grandes Rousses;La Condamine;07/05/2019;19;Ovin;50;655;Loup typé;Oui;;
VAUJANY;1;Grandes Rousses;Rif Jany;19/05/2019;20;Ovin;1;135;Loup typé;Oui;;
VAUJANY;1;Grandes Rousses;La Condamine;23/05/2019;21;Ovin;7;155;Loup typé;Oui;;
VAUJANY;1;Grandes Rousses;La Condamine;27/05/2019;22;Ovin;2;6;Loup typé;Oui;;
VAUJANY;1;Grandes Rousses;La Condamine;30/05/2019;22;Ovin;1;155;Loup non exclu;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Le Perron;12/06/2019;24;Ovin;2;2000;Indéterminé;Non - loup exclu;;
LE FRENEY-D'OISANS;1;Grandes Rousses;Puy le haut;15/06/2019;24;Ovin;2;911;Loup typé;Oui;;
BESSE;1;Grandes Rousses;Col de Prés nouveaux;17/06/2019;25;Caprin;1;3;Loup typé;Oui;;
VAUJANY;1;Grandes Rousses;Col du Sabot;10/07/2019;28;Ovin;2;1423;Loup typé;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Les Quirles;17/07/2019;29;Ovin;2;1650;Loup typé;Oui;;
BESSE;1;Grandes Rousses;La Valette;03/08/2019;31;Ovin;1;2500;Loup typé;Oui;;
HUEZ;1;Grandes Rousses;L’Alpe;11/08/2019;32;Ovin;6;2300;Loup typé;Oui;;
AURIS;1;Grandes Rousses;La Citrière;16/08/2019;33;Ovin;1;1498;Loup non exclu;Non indemnisable;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;cabane des bruyeres;08/09/2019;36;Ovin;5;1200;Loup typé;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Quirlies;10/09/2019;37;Ovin;5;1210;Loup typé;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Quirlies;13/09/2019;37;Ovin;3;1200;Indéterminé;En cours d'instruction;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Cabane des bruyères;18/09/2019;38;Ovin;4;1185;Loup typé;En cours d'instruction;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Quirlies;20/09/2019;38;Ovin;15;1181;Loup typé;En cours d'instruction;;
AURIS;1;Grandes Rousses;Cluy;24/09/2019;39;Ovin;2;2100;Loup typé;Oui;;
AURIS;1;Grandes Rousses;Cluy;28/09/2019;39;Ovin;1;2099;Loup non exclu;Oui;;
BESSE;1;Grandes Rousses;Serf;11/10/2019;41;Ovin;3;3;Loup typé;Oui;;
BESSE;1;Grandes Rousses;Les Trentes Combes;13/10/2019;41;Ovin;3;2400;Loup typé;Oui;;
BESSE;1;Grandes Rousses;Les Clots;16/06/2020;25;Ovin;6;100;Loup typé;Oui;TDS;38-2017-06-15-016
LE FRENEY-D'OISANS;1;Grandes Rousses;Puis le Haut;27/06/2020;26;Ovin;1;956;Loup typé;Oui;TDS;38-2019-07-09-004
HUEZ;1;Grandes Rousses;Pierre Ronde;30/06/2020;27;Ovin;2;1909;Loup non exclu;Oui;TDR;En attente signature
BESSE;1;Grandes Rousses;Chalet de La Boire;01/07/2020;27;Ovin;2;2498;Loup typé;Oui;TDR;En attente signature
VAUJANY;1;Grandes Rousses;La Cochette;03/07/2020;27;Ovin;1;1726;Loup typé;Oui;TDS;38-2017-04-12-009
VAUJANY;1;Grandes Rousses;La Cochette;11/07/2020;28;Ovin;2;1713;Indéterminé;Oui;TDS;
VAUJANY;1;Grandes Rousses;Le Sabot;25/07/2020;30;Ovin;1;1344;Loup typé;Oui;TDS;38-2017-04-12-009
VAUJANY;1;Grandes Rousses;Reynaud;28/07/2020;31;Ovin;1;1;Loup typé;Oui;TDS;38-2017-04-12-009
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Cabane de Bruyère;04/08/2020;32;Ovin;1;3000;Loup typé;Oui;Pas d'AP;/
HUEZ;1;Grandes Rousses;Route de Sarenne;14/08/2020;33;Ovin;1;1900;Indéterminé;Oui;TDR;38-2020-07-29-004
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Crête des sauvages;18/08/2020;34;Ovin;15;3000;Loup typé;Oui;Pas d'AP;/
HUEZ;1;Grandes Rousses;Alpe d’huez;19/08/2020;34;Ovin;1;1;Loup typé;Oui;TDR;38-2020-07-29-004
HUEZ;1;Grandes Rousses;Col du Poutran;22/08/2020;34;Ovin;3;107;Loup typé;Oui;TDR;38-2020-07-29-004
VAUJANY;1;Grandes Rousses;Bruyant;23/08/2020;34;Ovin;1;1501;Loup typé;Oui;TDS;38-2017-04-12-009
HUEZ;1;Grandes Rousses;Cabane de Brande;25/08/2020;35;Ovin;1;15;Loup non exclu;Oui;TDR;38-2020-07-29-004
HUEZ;1;Grandes Rousses;Gorge de Sarenne;29/08/2020;35;Ovin;1;1500;Loup typé;Oui;TDR;38-2020-07-29-004
LA GARDE;1;Grandes Rousses;La Rochette;30/08/2020;35;Ovin;1;1;Loup typé;Oui;TDS;38-2019-07-09-004
VAUJANY;1;Grandes Rousses;Coard;31/08/2020;36;Ovin;1;1708;Loup typé;Oui;Pas d'AP;/
AURIS;1;Grandes Rousses;Montagne de l’Homme;01/09/2020;36;Ovin;33;2577;Loup typé;Oui;TDS;38-2019-07-09-004
VAUJANY;1;Grandes Rousses;La Cochette;02/09/2020;36;Ovin;1;1708;Loup typé;Oui;Pas d'AP;/
AURIS;1;Grandes Rousses;Signal;06/09/2020;36;Ovin;5;2517;Loup typé;Oui;TDR;38-2020-09-04-001
AURIS;1;Grandes Rousses;Le Signal;08/09/2020;37;Ovin;2;2443;Loup typé;Oui;TDR;38-2020-09-04-001
VAUJANY;1;Grandes Rousses;Col du Sabot;10/09/2020;37;Ovin;28;1145;Loup typé;Oui;TDS;38-2017-04-12-009
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Pranial;12/09/2020;37;Ovin;2;2;Loup non exclu;Oui;Pas d'AP;/
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Pranial;13/09/2020;37;Ovin;1;1;Loup typé;Oui;Pas d'AP;/
AURIS;1;Grandes Rousses;Col de Maronne;16/09/2020;38;Ovin;7;2577;Loup non exclu;Oui;TDR;38-2020-09-04-001
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Les Bruyères;18/09/2020;38;Ovin;2;2;Loup typé;Oui;Pas d'AP;/
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Les Bruyères;20/09/2020;38;Ovin;1;1;Loup typé;Oui;Pas d'AP;/
LA GARDE;1;Grandes Rousses;Maronne;25/09/2020;39;Ovin;9;1600;Loup typé;Oui;TDR;38-2020-07-29-004
VAUJANY;1;Grandes Rousses;Col du Sabot;26/09/2020;39;Bovin;4;150;Indéterminé;Oui;Pas d'AP;/
LA GARDE;1;Grandes Rousses;Maronne;26/09/2020;39;Ovin;1;1600;Loup non exclu;Oui;TDR;38-2020-07-29-004
VAUJANY;1;Grandes Rousses;Barrage Grand-Maison;27/09/2020;39;Ovin;5;898;Indéterminé;Oui;TDS;38-2017-04-12-009
AURIS;1;Grandes Rousses;Signal;03/10/2020;40;Ovin;2;1622;Loup typé;Oui;TDR;38-2020-09-04-001
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Les Quirlies;08/10/2020;41;Ovin;9;2500;Loup typé;Oui;Pas d'AP;/
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Le Perron;09/10/2020;41;Ovin;2;2500;Loup typé;Oui;Pas d'AP;/
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Le Perron;11/10/2020;41;Ovin;3;2500;Loup typé;Oui;Pas d'AP;/
BESSE;1;Grandes Rousses;Bonnefin;16/10/2020;42;Ovin;1;913;Loup non exclu;Oui;TDR;38-2020-07-29-004
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Le Perron;16/10/2020;42;Ovin;3;2500;Loup typé;Oui;Pas d'AP;/
VILLARD-RECULAS;1;Grandes Rousses;Alpage;18/10/2020;42;Ovin;2;400;Loup typé;Oui;TDS;38-2019-05-17-007
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Clavans le bas;19/10/2020;43;Ovin;3;2500;Loup typé;Oui;Pas d'AP;/
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Clavans le bas;20/10/2020;43;Ovin;1;2500;Loup typé;Oui;Pas d'AP;/
VAUJANY;1;Grandes Rousses;Le Collet;15/11/2020;46;Ovin;2;310;Loup typé;Oui;TDS;38-2019-05-17-007
GIÈRES;HC;Haut Grésivaudan;La combe;07/09/2019;36;Caprin;1;4;Indéterminé;Non - loup exclu;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;14/01/2019;3;Ovin;1;1;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;20/03/2019;12;Ovin;1;12;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;05/05/2019;18;Ovin;12;70;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;11/05/2019;19;Ovin;13;100;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les sables;19/05/2019;20;Ovin;5;110;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les sables;02/06/2019;22;Ovin;5;210;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les sables;15/06/2019;24;Ovin;2;95;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;17/10/2019;42;Ovin;1;98;Loup typé;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;22/11/2019;47;Ovin;10;75;Loup non exclu;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;23/01/2020;4;Ovin;3;20;Loup typé;Oui;TDS;38-2019-04-03-015
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;17/04/2020;16;Ovin;5;165;Loup typé;Oui;TDS;38-2019-04-03-015
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;08/05/2020;19;Ovin;6;175;Loup typé;Oui;TDR;38-2020-05-11-09
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;16/05/2020;20;Ovin;1;65;Loup typé;Oui;TDR;38-2020-05-11-09
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;28/05/2020;22;Ovin;3;403;Loup typé;Oui;TDR;38-2020-05-11-09
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;24/07/2020;30;Ovin;2;32;Loup typé;Oui;TDR;38-2020-05-11-09
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Chemin du Buis;19/11/2020;47;Veau;1;20;Loup non exclu;Oui;TDR;38-2020-05-11-009
VILLENEUVE-DE-MARC;HC;Plateau de Bonnevaux;La Feytas;22/08/2019;34;Veau naissant;1;41;Indéterminé;Non - loup exclu;;
PRIMARETTE;HC;Plateau de Bonnevaux;Servant;07/04/2020;15;Bovin;1;21;Indéterminé;Non - loup exclu;Sans objet;/
CHAMPIER;HC;Plateau de Bonnevaux;Montée du brochet;17/05/2020;20;Ovin;1;200;Indéterminé;Non - loup exclu;Pas d'AP;/
COUR-ET-BUIS;HC;Plateau de Bonnevaux;Le Village;13/08/2020;33;Bovin;1;32;Indéterminé;Non - loup exclu;Pas d'AP;/
COUR-ET-BUIS;HC;Plateau de Bonnevaux;Impasse Mont Martin;20/08/2020;34;Ovin;1;30;Indéterminé;Non - loup exclu;Pas d'AP;/
CHAMPIER;HC;Plateau de Bonnevaux;Le Lacquet;24/10/2020;43;Veau naissant;1;38;Loup non exclu;Oui;Pas d'AP;/
VILLENEUVE-DE-MARC;HC;Plateau de Bonnevaux;Combe noire;23/12/2020;52;Ovin;1;15;Loup typé;Non indemnisable;Sans objet;/
SOUSVILLE;1;Plateau Matheysin;Le Sauze;22/08/2019;34;Ovin;9;35;Loup typé;Oui;;
SOUSVILLE;1;Plateau Matheysin;Le Faurie;21/09/2019;38;Ovin;3;18;Loup non exclu;Oui;;
SOUSVILLE;1;Plateau Matheysin;Le Pivol;28/09/2019;39;Ovin;7;23;Loup typé;Oui;;
SOUSVILLE;1;Plateau Matheysin;La Faurie;12/12/2019;50;Equin;1;8;Loup non exclu;Oui;;
SOUSVILLE;1;Plateau Matheysin;;17/12/2019;51;Equin;1;;Indéterminé;En cours d'instruction;;
SOUSVILLE;1;Plateau Matheysin;La Faurie;01/01/2020;1;Veau;1;140;Loup non exclu;Oui;TDS;38-2019-06-12-010
SOUSVILLE;1;Plateau Matheysin;Le Pivol;13/01/2020;3;Veau;1;70;Loup non exclu;Oui;TDS;A enregistrer au RAA
PIERRE-CHÂTEL;1;Plateau Matheysin;Putteville;23/05/2020;21;Bovin;1;14;Loup non exclu;Oui;Pas d'AP;/
PIERRE-CHÂTEL;1;Plateau Matheysin;Sersigaud;27/05/2020;22;Ovin;4;33;Loup typé;Oui;Pas d'AP;/
SOUSVILLE;1;Plateau Matheysin;La Faurie;10/08/2020;33;Ovin;2;16;Loup typé;Oui;TDS;38-2019-06-12-010
SOUSVILLE;1;Plateau Matheysin;Poncharra;11/10/2020;41;Veau naissant;1;34;Loup non exclu;Oui;TDS;38-2020-01-20-013
SOUSVILLE;1;Plateau Matheysin;;14/10/2020;42;Bovin;1;12;Loup non exclu;Oui;Pas d'AP;/
